epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9037,1.13268,2.27587,1.4681,0.91863,0.19835,0.72183,0.39445,1.19138,2.87897,1.64473,0.000651163,0.000651163,0.000651163
2,19.0321,1.30124,1.83934,1.57647,0.54194,0.70576,0.60535,0.28568,1.46419,2.95738,2.05289,0.00130478,0.00130478,0.00130478
3,25.022,1.40063,1.80759,1.61096,0.26742,0.38596,0.25705,0.06843,2.24136,3.74618,3.32453,0.0019452,0.0019452,0.0019452
4,30.8994,1.48804,1.84716,1.64821,0.58176,0.66667,0.61985,0.24269,1.69104,3.02599,2.74362,0.0019406,0.0019406,0.0019406
5,36.9246,1.45264,1.73689,1.62036,0.42164,0.43492,0.34581,0.1261,1.85373,3.0304,2.34577,0.0019208,0.0019208,0.0019208
6,42.8105,1.38378,1.60958,1.56905,0.56974,0.57895,0.52565,0.26702,1.59748,2.10386,1.99963,0.001901,0.001901,0.001901
7,48.6464,1.50592,1.73618,1.67054,0.22877,0.42154,0.26981,0.10712,1.83379,2.99005,2.26829,0.0018812,0.0018812,0.0018812
8,54.4036,1.39623,1.56164,1.58312,0.68125,0.54386,0.65725,0.33297,1.56012,1.8109,2.03865,0.0018614,0.0018614,0.0018614
9,60.7937,1.35618,1.55575,1.53916,0.8317,0.60698,0.75772,0.41549,1.45869,1.70125,1.78343,0.0018416,0.0018416,0.0018416
10,66.6585,1.34759,1.46477,1.56774,0.32194,0.50877,0.33769,0.114,2.30434,2.23046,2.77205,0.0018218,0.0018218,0.0018218
11,72.3133,1.3143,1.40467,1.53746,0.82245,0.89393,0.87031,0.48454,1.28771,1.56349,1.71635,0.001802,0.001802,0.001802
12,78.0101,1.28927,1.38381,1.51558,0.71961,0.77193,0.74497,0.32085,1.4377,1.62697,1.89258,0.0017822,0.0017822,0.0017822
13,83.9162,1.28549,1.36111,1.47057,0.80723,0.73684,0.79962,0.48264,1.40982,1.39906,1.84265,0.0017624,0.0017624,0.0017624
14,89.7479,1.23332,1.28808,1.47698,0.78175,0.84211,0.8329,0.41907,1.61244,1.41433,1.96195,0.0017426,0.0017426,0.0017426
15,95.4995,1.21913,1.28851,1.44218,0.6145,0.75507,0.70693,0.3524,1.55844,1.37217,1.90001,0.0017228,0.0017228,0.0017228
16,101.166,1.22346,1.27001,1.44165,0.68972,0.68421,0.67104,0.36328,1.45348,1.56055,1.88046,0.001703,0.001703,0.001703
17,106.898,1.25731,1.28772,1.50657,0.55213,0.68421,0.57611,0.31586,1.60642,1.49648,2.014,0.0016832,0.0016832,0.0016832
18,116.193,1.22576,1.25511,1.46635,0.73177,0.81373,0.84399,0.50157,1.33412,1.21107,1.8639,0.0016634,0.0016634,0.0016634
19,122.483,1.18668,1.20222,1.42332,0.90134,0.78947,0.90293,0.50724,1.35952,1.18188,1.82196,0.0016436,0.0016436,0.0016436
20,128.445,1.17251,1.13068,1.42844,0.87762,0.82456,0.89929,0.54769,1.30269,1.06116,1.72028,0.0016238,0.0016238,0.0016238
